Student ID,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,School Year,Main Subject
198429,Serafina,I,Bumgarner,F,serafina.bumgarner@exxonmobil.com,9/21/1982,2,Maths
178566,Juliette,M,Rojo,F,juliette.rojo@yahoo.co.uk,5/8/1967,1,Physics
647173,Milan,F,Krawczyk,M,milan.krawczyk@hotmail.com,4/4/1980,3,English
847634,Elmer,R,Jason,M,elmer.jason@yahoo.com,4/9/1996,2,Maths
260736,Zelda,P,Forest,F,zelda.forest@ibm.com,11/27/1959,2,Computer Science
811306,Rhett,P,Wan,M,rhett.wan@hotmail.com,7/14/1976,3,English
956633,Hal,H,Farrow,M,hal.farrow@cox.net,3/15/1967,5,Maths
629539,Del,I,Fernandez,M,del.fernandez@hotmail.com,8/13/1991,1,Computer Science
784160,Corey,A,Jackman,M,corey.jackman@gmail.com,4/12/1959,2,Music
744723,Bibi,H,Paddock,F,bibi.paddock@yahoo.co.in,10/20/1991,3,Physics
